Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,YES
gemini-3-flash-preview,Q2,spice_behaviour,YES,YES
gemini-3-flash-preview,Q3,theory_layout,YES,YES
gemini-3-flash-preview,Q4,component_datasheet,NO,NO
gemini-3-flash-preview,Q5,spice_behaviour,YES,NO
gemini-3-flash-preview,Q6,component_datasheet,YES,YES
gemini-3-flash-preview,Q7,theory_layout,YES,YES
gemini-3-flash-preview,Q8,spice_behaviour,YES,NO
gemini-3-flash-preview,Q9,component_datasheet,YES,NO
gemini-3-flash-preview,Q10,spice_behaviour,YES,YES
gemini-3-flash-preview,Q11,theory_layout,YES,YES
gemini-3-flash-preview,Q12,spice_behaviour,YES,NO
gemini-3-flash-preview,Q13,component_datasheet,YES,NO
gemini-3-flash-preview,Q14,component_datasheet,YES,YES
gemini-3-flash-preview,Q15,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.6666666666666666,0.6428571428571428,0.8076923076923077,0.6031746031746031
